Participant,Wellbeing,Feature,Importance,Behavioral_Variable,Relative_Importance
p01_daily_merged,fatigue,Exercise_Calories__change,0.0989573481641813,Exercise_Calories,0.09895734816418177
p01_daily_merged,fatigue,Exercise_Avg_HR__zscore,0.0439660661377137,Exercise_Avg_HR,0.04396606613771391
p01_daily_merged,fatigue,Exercise_Avg_HR__raw,0.0423696690050612,Exercise_Avg_HR,0.0423696690050614
p01_daily_merged,fatigue,Steps__abs_zscore,0.0394665640406064,Steps,0.03946656404060659
p01_daily_merged,fatigue,Exercise_Avg_HR__change,0.037396767049734,Exercise_Avg_HR,0.03739676704973418
p01_daily_merged,fatigue,Exercise_Avg_HR__deviation,0.0295583498067,Exercise_Avg_HR,0.029558349806700142
p01_daily_merged,fatigue,Steps__change,0.0291745296009751,Steps,0.02917452960097524
p01_daily_merged,fatigue,Sleep_Hours__rolling_3,0.0267468246185565,Sleep_Hours,0.02674682461855663
p01_daily_merged,fatigue,Exercise_Distance__abs_zscore,0.0232348169519625,Exercise_Distance,0.02323481695196261
p01_daily_merged,fatigue,Sleep_Restlessness__abs_zscore,0.0219697332424075,Sleep_Restlessness,0.021969733242407603
p01_daily_merged,fatigue,Sleep_Restlessness__rolling_3,0.021053588204278,Sleep_Restlessness,0.0210535882042781
p01_daily_merged,fatigue,Sleep_Revitalization__change,0.0186745612225395,Sleep_Revitalization,0.01867456122253959
p01_daily_merged,fatigue,Exercise_Distance__zscore,0.0184339356766076,Exercise_Distance,0.018433935676607685
p01_daily_merged,fatigue,Sleep_Score__rolling_3,0.01621488168261,Sleep_Score,0.016214881682610077
p01_daily_merged,fatigue,Sleep_Restlessness__change,0.0155141302684576,Sleep_Restlessness,0.015514130268457674
p01_daily_merged,fatigue,Sleep_Hours__abs_zscore,0.0154660096007248,Sleep_Hours,0.015466009600724875
p01_daily_merged,fatigue,Exercise_Calories__abs_zscore,0.0146409652089213,Exercise_Calories,0.014640965208921369
p01_daily_merged,fatigue,Exercise_Distance__deviation,0.0140853387869537,Exercise_Distance,0.014085338786953767
p01_daily_merged,fatigue,Steps__rolling_7,0.0131305084213267,Steps,0.013130508421326762
p01_daily_merged,fatigue,Sleep_Revitalization__rolling_3,0.0129609469658509,Sleep_Revitalization,0.012960946965850963
p01_daily_merged,fatigue,Deep_Sleep_Minutes__rolling_3,0.0129115735140767,Deep_Sleep_Minutes,0.012911573514076763
p01_daily_merged,fatigue,Steps__zscore,0.0127689740731204,Steps,0.01276897407312046
p01_daily_merged,fatigue,Exercise_Duration__change,0.0126863214117761,Exercise_Duration,0.01268632141177616
p01_daily_merged,fatigue,Sleep_Score__change,0.0126710608798253,Sleep_Score,0.012671060879825361
p01_daily_merged,fatigue,Exercise_Distance__raw,0.0125656290137072,Exercise_Distance,0.012565629013707261
p01_daily_merged,fatigue,Deep_Sleep_Minutes__abs_zscore,0.0123639377346837,Deep_Sleep_Minutes,0.012363937734683758
p01_daily_merged,fatigue,Deep_Sleep_Minutes__change,0.0122848567078384,Deep_Sleep_Minutes,0.012284856707838458
p01_daily_merged,fatigue,Sleep_Restlessness__deviation,0.0121435242981994,Sleep_Restlessness,0.012143524298199457
p01_daily_merged,fatigue,Exercise_Count__change,0.0116905142880596,Exercise_Count,0.011690514288059655
p01_daily_merged,fatigue,Steps__deviation,0.0110427153573692,Steps,0.011042715357369252
p01_daily_merged,fatigue,Steps__rolling_3,0.0109994907877516,Steps,0.010999490787751653
p01_daily_merged,fatigue,Sleep_Hours__change,0.0109804323550433,Sleep_Hours,0.010980432355043352
p01_daily_merged,fatigue,Sleep_Score__abs_zscore,0.0109009280798005,Sleep_Score,0.010900928079800552
p01_daily_merged,fatigue,Sleep_Hours__zscore,0.0107360468039208,Sleep_Hours,0.010736046803920853
p01_daily_merged,fatigue,Steps__raw,0.0107218202700656,Steps,0.010721820270065652
p01_daily_merged,fatigue,Sleep_Duration_Score__abs_zscore,0.0105719263231719,Sleep_Duration_Score,0.01057192632317195
p01_daily_merged,fatigue,Exercise_Avg_HR__abs_zscore,0.0105353294652145,Exercise_Avg_HR,0.01053532946521455
p01_daily_merged,fatigue,Exercise_Calories__rolling_3,0.0103446704059009,Exercise_Calories,0.010344670405900949
p01_daily_merged,fatigue,Sleep_Duration_Score__change,0.0092320054776358,Sleep_Duration_Score,0.009232005477635844
p01_daily_merged,fatigue,Sleep_Composition__change,0.009154984770181,Sleep_Composition,0.009154984770181044
p01_daily_merged,fatigue,Exercise_Duration__rolling_3,0.0089790060526337,Exercise_Duration,0.008979006052633744
p01_daily_merged,fatigue,Sleep_Restlessness__raw,0.0089589390738749,Sleep_Restlessness,0.008958939073874943
p01_daily_merged,fatigue,Exercise_Distance__change,0.0089502393974787,Exercise_Distance,0.008950239397478743
p01_daily_merged,fatigue,Deep_Sleep_Minutes__raw,0.0083113233812913,Deep_Sleep_Minutes,0.00831132338129134
p01_daily_merged,fatigue,Sleep_Restlessness__zscore,0.0082933386074532,Sleep_Restlessness,0.00829333860745324
p01_daily_merged,fatigue,Exercise_Calories__rolling_7,0.0082616452070681,Exercise_Calories,0.00826164520706814
p01_daily_merged,fatigue,Exercise_Duration__abs_zscore,0.0073221601973623,Exercise_Duration,0.007322160197362335
p01_daily_merged,fatigue,Deep_Sleep_Minutes__deviation,0.0066843492985566,Deep_Sleep_Minutes,0.006684349298556632
p01_daily_merged,fatigue,Sleep_Revitalization__abs_zscore,0.0066224917246893,Sleep_Revitalization,0.006622491724689331
p01_daily_merged,fatigue,Sleep_Composition__abs_zscore,0.0065521729233983,Sleep_Composition,0.006552172923398331
p01_daily_merged,fatigue,Exercise_Calories__zscore,0.0063113296238007,Exercise_Calories,0.006311329623800731
p01_daily_merged,fatigue,Sleep_Composition__raw,0.0059571951244945,Sleep_Composition,0.005957195124494529
p01_daily_merged,fatigue,Exercise_Duration__zscore,0.0057257615876681,Exercise_Duration,0.005725761587668128
p01_daily_merged,fatigue,Sleep_Hours__deviation,0.0056213936451261,Sleep_Hours,0.005621393645126127
p01_daily_merged,fatigue,Sleep_Composition__rolling_3,0.0056112600937019,Sleep_Composition,0.005611260093701927
p01_daily_merged,fatigue,Exercise_Distance__rolling_7,0.0055355753653397,Exercise_Distance,0.005535575365339726
p01_daily_merged,fatigue,Sleep_Hours__rolling_7,0.005512473294195,Sleep_Hours,0.005512473294195026
p01_daily_merged,fatigue,Sleep_Hours__raw,0.0053850320552394,Sleep_Hours,0.005385032055239426
p01_daily_merged,fatigue,Sleep_Score__rolling_7,0.0051511468649318,Sleep_Score,0.005151146864931825
p01_daily_merged,fatigue,Sleep_Score__deviation,0.0049590278673014,Sleep_Score,0.004959027867301424
p01_daily_merged,fatigue,Exercise_Duration__rolling_7,0.0047763260569666,Exercise_Duration,0.004776326056966622
p01_daily_merged,fatigue,Exercise_Count__rolling_3,0.0046458660194931,Exercise_Count,0.004645866019493123
p01_daily_merged,fatigue,Exercise_Calories__raw,0.0044286474242191,Exercise_Calories,0.004428647424219121
p01_daily_merged,fatigue,Sleep_Score__raw,0.0042028508004995,Sleep_Score,0.00420285080049952
p01_daily_merged,fatigue,Exercise_Avg_HR__rolling_3,0.0041817243177119,Exercise_Avg_HR,0.00418172431771192
p01_daily_merged,fatigue,Deep_Sleep_Minutes__zscore,0.0041559654944034,Deep_Sleep_Minutes,0.00415596549440342
p01_daily_merged,fatigue,Sleep_Duration_Score__raw,0.004093115309021,Sleep_Duration_Score,0.00409311530902102
p01_daily_merged,fatigue,Sleep_Composition__zscore,0.0038267146739604,Sleep_Composition,0.003826714673960418
p01_daily_merged,fatigue,Sleep_Revitalization__zscore,0.003817329420493,Sleep_Revitalization,0.0038173294204930184
p01_daily_merged,fatigue,Sleep_Restlessness__rolling_7,0.0038005483465973,Sleep_Restlessness,0.003800548346597318
p01_daily_merged,fatigue,Sleep_Composition__deviation,0.0036159703025778,Sleep_Composition,0.0036159703025778174
p01_daily_merged,fatigue,Exercise_Calories__deviation,0.0033868693399888,Exercise_Calories,0.003386869339988816
p01_daily_merged,fatigue,Exercise_Count__abs_zscore,0.0033806143768872,Exercise_Count,0.003380614376887216
p01_daily_merged,fatigue,Sleep_Score__zscore,0.0030423244882332,Sleep_Score,0.003042324488233214
p01_daily_merged,fatigue,Sleep_Composition__rolling_7,0.0030071478642581,Sleep_Composition,0.0030071478642581142
p01_daily_merged,fatigue,Sleep_Revitalization__deviation,0.0026493232938393,Sleep_Revitalization,0.0026493232938393126
p01_daily_merged,fatigue,Sleep_Duration_Score__deviation,0.0021869505958218,Sleep_Duration_Score,0.0021869505958218103
p01_daily_merged,fatigue,Sleep_Revitalization__rolling_7,0.0021837429398668,Sleep_Revitalization,0.0021837429398668105
p01_daily_merged,fatigue,Exercise_Count__zscore,0.0021257395515041,Exercise_Count,0.00212573955150411
p01_daily_merged,fatigue,Sleep_Revitalization__raw,0.0020803119986437,Sleep_Revitalization,0.00208031199864371
p01_daily_merged,fatigue,Sleep_Duration_Score__rolling_7,0.0020190054420593,Sleep_Duration_Score,0.0020190054420593097
p01_daily_merged,fatigue,Exercise_Duration__deviation,0.0019915519060115,Exercise_Duration,0.0019915519060115096
p01_daily_merged,fatigue,Sleep_Duration_Score__rolling_3,0.0019801116554696,Sleep_Duration_Score,0.0019801116554696097
p01_daily_merged,fatigue,Exercise_Duration__raw,0.0018887398678996,Exercise_Duration,0.0018887398678996091
p01_daily_merged,fatigue,Sleep_Duration_Score__zscore,0.0017856342139184,Sleep_Duration_Score,0.0017856342139184085
p01_daily_merged,fatigue,Exercise_Distance__rolling_3,0.0017641958549123,Exercise_Distance,0.0017641958549123083
p01_daily_merged,fatigue,Exercise_Count__raw,0.001737457327869,Exercise_Count,0.0017374573278690082
p01_daily_merged,fatigue,Exercise_Count__deviation,0.0011938379481947,Exercise_Count,0.0011938379481947056
p01_daily_merged,fatigue,Deep_Sleep_Minutes__rolling_7,0.0006397940074896,Deep_Sleep_Minutes,0.0006397940074896031
p01_daily_merged,fatigue,Exercise_Count__rolling_7,0.0003834511020699,Exercise_Count,0.00038345110206990183
p01_daily_merged,fatigue,Exercise_Avg_HR__rolling_7,0.0,Exercise_Avg_HR,0.0
p01_daily_merged,mood,Sleep_Restlessness__rolling_3,0.1249668941112072,Sleep_Restlessness,0.12496689411120769
p01_daily_merged,mood,Sleep_Hours__change,0.0633293562332209,Sleep_Hours,0.06332935623322115
p01_daily_merged,mood,Sleep_Duration_Score__change,0.0593995967024212,Sleep_Duration_Score,0.059399596702421426
p01_daily_merged,mood,Sleep_Score__abs_zscore,0.0485534678255803,Sleep_Score,0.04855346782558049
p01_daily_merged,mood,Sleep_Restlessness__change,0.0467927300296236,Sleep_Restlessness,0.04679273002962378
p01_daily_merged,mood,Sleep_Composition__change,0.0442641254942434,Sleep_Composition,0.04426412549424357
p01_daily_merged,mood,Exercise_Duration__abs_zscore,0.0336085004822804,Exercise_Duration,0.033608500482280534
p01_daily_merged,mood,Sleep_Duration_Score__rolling_3,0.0270997391711864,Sleep_Duration_Score,0.027099739171186504
p01_daily_merged,mood,Sleep_Restlessness__zscore,0.0260978975275847,Sleep_Restlessness,0.0260978975275848
p01_daily_merged,mood,Exercise_Avg_HR__abs_zscore,0.0241159169462571,Exercise_Avg_HR,0.024115916946257195
p01_daily_merged,mood,Sleep_Restlessness__abs_zscore,0.0238538745056275,Sleep_Restlessness,0.023853874505627592
p01_daily_merged,mood,Sleep_Restlessness__deviation,0.0209223435199439,Sleep_Restlessness,0.02092234351994398
p01_daily_merged,mood,Sleep_Revitalization__zscore,0.0177401147474443,Sleep_Revitalization,0.017740114747444368
p01_daily_merged,mood,Deep_Sleep_Minutes__change,0.0165933744702384,Deep_Sleep_Minutes,0.016593374470238467
p01_daily_merged,mood,Sleep_Restlessness__raw,0.0164460393979197,Sleep_Restlessness,0.016446039397919762
p01_daily_merged,mood,Exercise_Count__raw,0.0161125667258211,Exercise_Count,0.016112566725821162
p01_daily_merged,mood,Sleep_Hours__abs_zscore,0.0159179434091881,Sleep_Hours,0.015917943409188163
p01_daily_merged,mood,Exercise_Duration__rolling_3,0.014467389449588,Exercise_Duration,0.014467389449588055
p01_daily_merged,mood,Sleep_Revitalization__change,0.0141303515315444,Sleep_Revitalization,0.014130351531544455
p01_daily_merged,mood,Exercise_Duration__change,0.013152012670311,Exercise_Duration,0.01315201267031105
p01_daily_merged,mood,Steps__rolling_3,0.0126895364682954,Steps,0.012689536468295449
p01_daily_merged,mood,Exercise_Calories__raw,0.0122885793998045,Exercise_Calories,0.012288579399804548
p01_daily_merged,mood,Sleep_Score__zscore,0.0114276896143039,Sleep_Score,0.011427689614303946
p01_daily_merged,mood,Steps__abs_zscore,0.0114009194086105,Steps,0.011400919408610545
p01_daily_merged,mood,Exercise_Calories__rolling_3,0.0111840702573369,Exercise_Calories,0.011184070257336943
p01_daily_merged,mood,Sleep_Revitalization__raw,0.0110594268166232,Sleep_Revitalization,0.011059426816623244
p01_daily_merged,mood,Exercise_Avg_HR__rolling_3,0.0102588089270458,Exercise_Avg_HR,0.01025880892704584
p01_daily_merged,mood,Sleep_Score__deviation,0.0102299486934596,Sleep_Score,0.01022994869345964
p01_daily_merged,mood,Exercise_Calories__abs_zscore,0.0100901942738651,Exercise_Calories,0.01009019427386514
p01_daily_merged,mood,Sleep_Score__raw,0.0098517970706655,Sleep_Score,0.009851797070665538
p01_daily_merged,mood,Exercise_Avg_HR__change,0.0093867439480596,Exercise_Avg_HR,0.009386743948059637
p01_daily_merged,mood,Sleep_Hours__deviation,0.0092411149936946,Sleep_Hours,0.009241114993694637
p01_daily_merged,mood,Sleep_Revitalization__deviation,0.008628251634967,Sleep_Revitalization,0.008628251634967034
p01_daily_merged,mood,Sleep_Hours__rolling_3,0.0080436554925125,Sleep_Hours,0.008043655492512531
p01_daily_merged,mood,Exercise_Count__abs_zscore,0.0080146038590493,Exercise_Count,0.008014603859049332
p01_daily_merged,mood,Sleep_Score__rolling_7,0.0079776689121557,Sleep_Score,0.007977668912155731
p01_daily_merged,mood,Sleep_Score__change,0.0076985542503585,Sleep_Score,0.00769855425035853
p01_daily_merged,mood,Exercise_Calories__deviation,0.0076267804636358,Exercise_Calories,0.00762678046363583
p01_daily_merged,mood,Deep_Sleep_Minutes__rolling_7,0.0072525456964688,Deep_Sleep_Minutes,0.007252545696468828
p01_daily_merged,mood,Sleep_Hours__raw,0.0071927719906795,Sleep_Hours,0.007192771990679528
p01_daily_merged,mood,Deep_Sleep_Minutes__zscore,0.0071118295769408,Deep_Sleep_Minutes,0.007111829576940828
p01_daily_merged,mood,Deep_Sleep_Minutes__rolling_3,0.0070972803703265,Deep_Sleep_Minutes,0.007097280370326527
p01_daily_merged,mood,Exercise_Count__zscore,0.0069549129282676,Exercise_Count,0.0069549129282676266
p01_daily_merged,mood,Sleep_Hours__zscore,0.0068715310245166,Sleep_Hours,0.006871531024516627
p01_daily_merged,mood,Sleep_Composition__deviation,0.0063413592218112,Sleep_Composition,0.006341359221811224
p01_daily_merged,mood,Exercise_Count__deviation,0.0062501913685797,Exercise_Count,0.0062501913685797245
p01_daily_merged,mood,Deep_Sleep_Minutes__deviation,0.0061507774082366,Deep_Sleep_Minutes,0.006150777408236625
p01_daily_merged,mood,Steps__rolling_7,0.0058196748479163,Steps,0.005819674847916323
p01_daily_merged,mood,Sleep_Composition__abs_zscore,0.0051707634345648,Sleep_Composition,0.00517076343456482
p01_daily_merged,mood,Exercise_Duration__deviation,0.0051248823173515,Exercise_Duration,0.00512488231735152
p01_daily_merged,mood,Exercise_Avg_HR__raw,0.0051111225261899,Exercise_Avg_HR,0.00511112252618992
p01_daily_merged,mood,Sleep_Composition__rolling_3,0.0047759019095549,Sleep_Composition,0.004775901909554918
p01_daily_merged,mood,Exercise_Count__change,0.0047725773728253,Exercise_Count,0.004772577372825318
p01_daily_merged,mood,Exercise_Distance__rolling_7,0.0046993567515944,Exercise_Distance,0.004699356751594418
p01_daily_merged,mood,Exercise_Avg_HR__zscore,0.0045109466817888,Exercise_Avg_HR,0.004510946681788817
p01_daily_merged,mood,Steps__raw,0.0043279237889954,Steps,0.004327923788995417
p01_daily_merged,mood,Sleep_Duration_Score__zscore,0.0042668813636596,Sleep_Duration_Score,0.0042668813636596165
p01_daily_merged,mood,Exercise_Calories__change,0.0037283189133395,Exercise_Calories,0.0037283189133395143
p01_daily_merged,mood,Sleep_Score__rolling_3,0.0036291143607866,Sleep_Score,0.0036291143607866143
p01_daily_merged,mood,Exercise_Duration__zscore,0.0033365972969798,Exercise_Duration,0.003336597296979813
p01_daily_merged,mood,Steps__zscore,0.0031087967078264,Steps,0.003108796707826412
p01_daily_merged,mood,Sleep_Duration_Score__abs_zscore,0.003050234509274,Sleep_Duration_Score,0.0030502345092740116
p01_daily_merged,mood,Exercise_Avg_HR__deviation,0.0028115122455573,Exercise_Avg_HR,0.002811512245557311
p01_daily_merged,mood,Exercise_Calories__zscore,0.0027877649764387,Exercise_Calories,0.002787764976438711
p01_daily_merged,mood,Exercise_Duration__raw,0.0027759737315841,Exercise_Duration,0.0027759737315841107
p01_daily_merged,mood,Sleep_Revitalization__abs_zscore,0.0027372856072013,Sleep_Revitalization,0.002737285607201311
p01_daily_merged,mood,Steps__deviation,0.002732851601934,Steps,0.0027328516019340106
p01_daily_merged,mood,Sleep_Composition__zscore,0.0026579134145088,Sleep_Composition,0.0026579134145088106
p01_daily_merged,mood,Sleep_Duration_Score__rolling_7,0.0022385509057494,Sleep_Duration_Score,0.002238550905749409
p01_daily_merged,mood,Sleep_Duration_Score__deviation,0.0015371843268937,Sleep_Duration_Score,0.0015371843268937061
p01_daily_merged,mood,Sleep_Hours__rolling_7,0.0015340345338316,Sleep_Hours,0.0015340345338316057
p01_daily_merged,mood,Steps__change,0.0013859087547098,Steps,0.0013859087547098054
p01_daily_merged,mood,Deep_Sleep_Minutes__raw,0.0013512503880276,Deep_Sleep_Minutes,0.0013512503880276053
p01_daily_merged,mood,Deep_Sleep_Minutes__abs_zscore,0.0013293401297294,Deep_Sleep_Minutes,0.0013293401297294052
p01_daily_merged,mood,Sleep_Duration_Score__raw,0.0012724852829809,Sleep_Duration_Score,0.001272485282980905
p01_daily_merged,mood,Exercise_Count__rolling_3,0.0007335457902523,Exercise_Count,0.0007335457902523028
p01_daily_merged,mood,Exercise_Calories__rolling_7,0.0003467492260061,Exercise_Calories,0.00034674922600610135
p01_daily_merged,mood,Sleep_Composition__rolling_7,0.0002953122729205,Sleep_Composition,0.00029531227292050113
p01_daily_merged,mood,Exercise_Count__rolling_7,0.0001534650075211,Exercise_Count,0.00015346500752110059
p01_daily_merged,mood,Exercise_Duration__rolling_7,0.0,Exercise_Duration,0.0
p01_daily_merged,mood,Exercise_Distance__raw,0.0,Exercise_Distance,0.0
p01_daily_merged,mood,Exercise_Distance__change,0.0,Exercise_Distance,0.0
p01_daily_merged,mood,Exercise_Distance__rolling_3,0.0,Exercise_Distance,0.0
p01_daily_merged,mood,Exercise_Distance__zscore,0.0,Exercise_Distance,0.0
p01_daily_merged,mood,Exercise_Distance__abs_zscore,0.0,Exercise_Distance,0.0
p01_daily_merged,mood,Exercise_Distance__deviation,0.0,Exercise_Distance,0.0
p01_daily_merged,mood,Exercise_Avg_HR__rolling_7,0.0,Exercise_Avg_HR,0.0
p01_daily_merged,mood,Sleep_Restlessness__rolling_7,0.0,Sleep_Restlessness,0.0
p01_daily_merged,mood,Sleep_Composition__raw,0.0,Sleep_Composition,0.0
p01_daily_merged,mood,Sleep_Revitalization__rolling_3,0.0,Sleep_Revitalization,0.0
p01_daily_merged,mood,Sleep_Revitalization__rolling_7,0.0,Sleep_Revitalization,0.0
p01_daily_merged,readiness,Exercise_Calories__change,0.2601866436955815,Exercise_Calories,0.26018664369558264
p01_daily_merged,readiness,Exercise_Avg_HR__zscore,0.1620535609348026,Exercise_Avg_HR,0.16205356093480336
p01_daily_merged,readiness,Exercise_Avg_HR__raw,0.1067342091678321,Exercise_Avg_HR,0.10673420916783259
p01_daily_merged,readiness,Exercise_Avg_HR__deviation,0.101402216470693,Exercise_Avg_HR,0.10140221647069346
p01_daily_merged,readiness,Exercise_Avg_HR__change,0.0181889337369635,Exercise_Avg_HR,0.018188933736963585
p01_daily_merged,readiness,Sleep_Restlessness__abs_zscore,0.0156641188415051,Sleep_Restlessness,0.015664118841505172
p01_daily_merged,readiness,Sleep_Revitalization__rolling_3,0.0149749623066036,Sleep_Revitalization,0.014974962306603667
p01_daily_merged,readiness,Steps__change,0.0147782331324097,Steps,0.014778233132409767
p01_daily_merged,readiness,Sleep_Duration_Score__rolling_7,0.0115223211392901,Sleep_Duration_Score,0.011522321139290153
p01_daily_merged,readiness,Steps__rolling_7,0.010753616802018,Steps,0.010753616802018048
p01_daily_merged,readiness,Exercise_Calories__abs_zscore,0.0103843150347432,Exercise_Calories,0.010384315034743246
p01_daily_merged,readiness,Sleep_Revitalization__change,0.0097802443289708,Sleep_Revitalization,0.009780244328970846
p01_daily_merged,readiness,Exercise_Duration__change,0.0094423353594377,Exercise_Duration,0.009442335359437743
p01_daily_merged,readiness,Sleep_Restlessness__change,0.0084473917085118,Sleep_Restlessness,0.008447391708511838
p01_daily_merged,readiness,Sleep_Hours__change,0.0082309846696921,Sleep_Hours,0.008230984669692139
p01_daily_merged,readiness,Exercise_Calories__zscore,0.0080854732726874,Exercise_Calories,0.008085473272687436
p01_daily_merged,readiness,Sleep_Composition__change,0.007765088331772,Sleep_Composition,0.007765088331772036
p01_daily_merged,readiness,Sleep_Hours__rolling_3,0.0074903173800736,Sleep_Hours,0.007490317380073634
p01_daily_merged,readiness,Exercise_Distance__change,0.0064450609641145,Exercise_Distance,0.006445060964114529
p01_daily_merged,readiness,Deep_Sleep_Minutes__change,0.0063084810011007,Deep_Sleep_Minutes,0.006308481001100728
p01_daily_merged,readiness,Sleep_Score__zscore,0.0062370677417133,Sleep_Score,0.0062370677417133286
p01_daily_merged,readiness,Steps__abs_zscore,0.0061771204377226,Steps,0.006177120437722628
p01_daily_merged,readiness,Sleep_Composition__rolling_3,0.0060690682716076,Sleep_Composition,0.006069068271607627
p01_daily_merged,readiness,Sleep_Hours__rolling_7,0.0057482647225292,Sleep_Hours,0.005748264722529226
p01_daily_merged,readiness,Exercise_Duration__abs_zscore,0.0057129712190653,Exercise_Duration,0.005712971219065326
p01_daily_merged,readiness,Deep_Sleep_Minutes__rolling_3,0.005481773234435,Deep_Sleep_Minutes,0.005481773234435025
p01_daily_merged,readiness,Deep_Sleep_Minutes__abs_zscore,0.0050993217696801,Deep_Sleep_Minutes,0.005099321769680123
p01_daily_merged,readiness,Sleep_Duration_Score__change,0.0050171030789728,Sleep_Duration_Score,0.005017103078972822
p01_daily_merged,readiness,Sleep_Revitalization__rolling_7,0.0048593485911725,Sleep_Revitalization,0.004859348591172523
p01_daily_merged,readiness,Sleep_Duration_Score__deviation,0.0048189178862387,Sleep_Duration_Score,0.004818917886238722
p01_daily_merged,readiness,Exercise_Duration__rolling_7,0.0046202641881657,Exercise_Duration,0.004620264188165721
p01_daily_merged,readiness,Sleep_Restlessness__rolling_7,0.004436130129021,Sleep_Restlessness,0.00443613012902102
p01_daily_merged,readiness,Deep_Sleep_Minutes__rolling_7,0.0043209853744637,Deep_Sleep_Minutes,0.00432098537446372
p01_daily_merged,readiness,Sleep_Restlessness__zscore,0.0042554965200067,Sleep_Restlessness,0.004255496520006719
p01_daily_merged,readiness,Sleep_Restlessness__rolling_3,0.0042515075922715,Sleep_Restlessness,0.004251507592271519
p01_daily_merged,readiness,Sleep_Revitalization__abs_zscore,0.0042323036755534,Sleep_Revitalization,0.004232303675553419
p01_daily_merged,readiness,Sleep_Composition__rolling_7,0.0040468754527974,Sleep_Composition,0.004046875452797419
p01_daily_merged,readiness,Steps__deviation,0.0039878331394378,Steps,0.003987833139437819
p01_daily_merged,readiness,Sleep_Restlessness__raw,0.0038093719211974,Sleep_Restlessness,0.003809371921197417
p01_daily_merged,readiness,Sleep_Hours__deviation,0.0037696231568708,Sleep_Hours,0.0037696231568708173
p01_daily_merged,readiness,Sleep_Score__raw,0.0037126412408468,Sleep_Score,0.003712641240846817
p01_daily_merged,readiness,Sleep_Duration_Score__abs_zscore,0.0036664686461793,Sleep_Duration_Score,0.0036664686461793166
p01_daily_merged,readiness,Steps__rolling_3,0.0036655399091884,Steps,0.0036655399091884166
p01_daily_merged,readiness,Sleep_Hours__abs_zscore,0.0035324740864077,Sleep_Hours,0.003532474086407716
p01_daily_merged,readiness,Exercise_Calories__deviation,0.0035252305816477,Exercise_Calories,0.003525230581647716
p01_daily_merged,readiness,Sleep_Duration_Score__rolling_3,0.003437549162775,Sleep_Duration_Score,0.0034375491627750155
p01_daily_merged,readiness,Sleep_Hours__raw,0.0034278252722413,Sleep_Hours,0.0034278252722413157
p01_daily_merged,readiness,Exercise_Calories__raw,0.0033586903115617,Exercise_Calories,0.0033586903115617153
p01_daily_merged,readiness,Exercise_Duration__deviation,0.0032947820246518,Exercise_Duration,0.0032947820246518153
p01_daily_merged,readiness,Exercise_Distance__rolling_3,0.0031434698284695,Exercise_Distance,0.003143469828469514
p01_daily_merged,readiness,Sleep_Restlessness__deviation,0.003116183183145,Sleep_Restlessness,0.003116183183145014
p01_daily_merged,readiness,Sleep_Score__rolling_7,0.0029911038238523,Sleep_Score,0.0029911038238523134
p01_daily_merged,readiness,Sleep_Score__deviation,0.0029672559664537,Sleep_Score,0.0029672559664537133
p01_daily_merged,readiness,Sleep_Score__abs_zscore,0.0027869482937133,Sleep_Score,0.0027869482937133124
p01_daily_merged,readiness,Deep_Sleep_Minutes__raw,0.0027304773436403,Deep_Sleep_Minutes,0.0027304773436403126
p01_daily_merged,readiness,Sleep_Revitalization__zscore,0.0027105754060011,Sleep_Revitalization,0.0027105754060011123
p01_daily_merged,readiness,Sleep_Revitalization__raw,0.0026067346225366,Sleep_Revitalization,0.0026067346225366115
p01_daily_merged,readiness,Sleep_Revitalization__deviation,0.0025929060032293,Sleep_Revitalization,0.0025929060032293116
p01_daily_merged,readiness,Deep_Sleep_Minutes__zscore,0.0025699273314696,Deep_Sleep_Minutes,0.002569927331469612
p01_daily_merged,readiness,Exercise_Duration__rolling_3,0.0025538161256617,Exercise_Duration,0.002553816125661712
p01_daily_merged,readiness,Exercise_Avg_HR__abs_zscore,0.002544561018208,Exercise_Avg_HR,0.002544561018208012
p01_daily_merged,readiness,Steps__raw,0.0024971936161452,Steps,0.0024971936161452112
p01_daily_merged,readiness,Exercise_Count__abs_zscore,0.0023861850202896,Exercise_Count,0.002386185020289611
p01_daily_merged,readiness,Exercise_Duration__zscore,0.0023377174461461,Exercise_Duration,0.002337717446146111
p01_daily_merged,readiness,Exercise_Count__change,0.0023236780099711,Exercise_Count,0.0023236780099711103
p01_daily_merged,readiness,Exercise_Duration__raw,0.0023101095753983,Exercise_Duration,0.0023101095753983105
p01_daily_merged,readiness,Sleep_Composition__abs_zscore,0.0022487967738179,Sleep_Composition,0.0022487967738179103
p01_daily_merged,readiness,Deep_Sleep_Minutes__deviation,0.002092437143538,Deep_Sleep_Minutes,0.0020924371435380095
p01_daily_merged,readiness,Sleep_Score__change,0.0020346035737866,Sleep_Score,0.0020346035737866092
p01_daily_merged,readiness,Sleep_Score__rolling_3,0.0019430086053385,Sleep_Score,0.001943008605338509
p01_daily_merged,readiness,Sleep_Hours__zscore,0.001928566963611,Sleep_Hours,0.0019285669636110087
p01_daily_merged,readiness,Sleep_Duration_Score__zscore,0.001895293604494,Sleep_Duration_Score,0.0018952936044940086
p01_daily_merged,readiness,Exercise_Avg_HR__rolling_3,0.0018934413674049,Exercise_Avg_HR,0.0018934413674049086
p01_daily_merged,readiness,Exercise_Count__rolling_3,0.0017200484784933,Exercise_Count,0.0017200484784933078
