participant,variable,date,status,missing_streak_days,message
p01,Sleep_Score,2019-12-13,Available,0.0,
p01,Steps,2019-12-14,Available,0.0,
p01,Exercise_Count,2019-12-14,Available,0.0,
p01,Exercise_Duration,2019-12-14,Available,0.0,
p01,Exercise_Distance,2019-12-14,Available,0.0,
p01,Exercise_Calories,2019-12-14,Available,0.0,
p01,Exercise_Avg_HR,2019-12-14,Available,2.0,
p01,Sleep_Hours,2019-12-14,Available,0.0,
p01,Sleep_Duration_Score,2019-12-14,Available,0.0,
p01,Deep_Sleep_Minutes,2019-12-14,Available,0.0,
p01,Sleep_Restlessness,2019-12-14,Available,0.0,
p01,Sleep_Composition,2019-12-14,Available,0.0,
p01,Sleep_Revitalization,2019-12-14,Available,0.0,
p01,Sleep_Score,2019-12-14,Available,0.0,
p01,Steps,2019-12-15,Available,0.0,
p01,Exercise_Count,2019-12-15,Available,0.0,
p01,Exercise_Duration,2019-12-15,Available,0.0,
p01,Exercise_Distance,2019-12-15,Available,0.0,
p01,Exercise_Calories,2019-12-15,Available,0.0,
p01,Exercise_Avg_HR,2019-12-15,Available,2.0,
p01,Sleep_Hours,2019-12-15,Available,0.0,
p01,Sleep_Duration_Score,2019-12-15,Available,0.0,
p01,Deep_Sleep_Minutes,2019-12-15,Available,0.0,
p01,Sleep_Restlessness,2019-12-15,Available,0.0,
p01,Sleep_Composition,2019-12-15,Available,0.0,
p01,Sleep_Revitalization,2019-12-15,Available,0.0,
p01,Sleep_Score,2019-12-15,Available,0.0,
p01,Steps,2019-12-16,Available,0.0,
p01,Exercise_Count,2019-12-16,Available,0.0,
p01,Exercise_Duration,2019-12-16,Available,0.0,
p01,Exercise_Distance,2019-12-16,Available,0.0,
p01,Exercise_Calories,2019-12-16,Available,0.0,
p01,Exercise_Avg_HR,2019-12-16,Available,2.0,
p01,Sleep_Hours,2019-12-16,Available,0.0,
p01,Sleep_Duration_Score,2019-12-16,Available,0.0,
p01,Deep_Sleep_Minutes,2019-12-16,Available,0.0,
